invoice_id,branch,city,customer_type,gender,category,cogs,sale,date,time,payment_method,review,gross_margin,month,day_of_week,hour
750-67-8428,A,Nueva York,Member,Female,Health and beauty,522.83,548.9715,2019-01-05,13:08:00,Ewallet,9.1,26.14149999999995,January,Saturday,13
226-31-3081,C,Houston,Normal,Female,Electronic accessories,76.4,80.22,2019-03-08,10:29:00,Cash,9.6,3.819999999999993,March,Friday,10
631-41-3108,A,Nueva York,Normal,Male,Home and lifestyle,324.31,340.5255,2019-03-03,13:23:00,Credit card,7.4,16.21550000000002,March,Sunday,13
123-19-1176,A,Nueva York,Member,Male,Health and beauty,465.76,489.048,2019-01-27,20:33:00,Ewallet,8.4,23.28800000000001,January,Sunday,20
373-73-7910,A,Nueva York,Normal,Male,Sports and travel,604.17,634.3785,2019-02-08,10:37:00,Ewallet,5.3,30.208500000000072,February,Friday,10
699-14-3026,C,Houston,Normal,Male,Electronic accessories,597.73,627.6165,2019-03-25,18:30:00,Ewallet,4.1,29.886499999999955,March,Monday,18
355-53-5943,A,Nueva York,Member,Female,Electronic accessories,413.04,433.692,2019-02-25,14:36:00,Ewallet,5.8,20.651999999999987,February,Monday,14
315-22-5665,C,Houston,Normal,Female,Home and lifestyle,735.6,772.38,2019-02-24,11:38:00,Ewallet,8.0,36.77999999999997,February,Sunday,11
665-32-9167,A,Nueva York,Member,Female,Health and beauty,72.52,76.146,2019-01-10,17:15:00,Credit card,7.2,3.6260000000000048,January,Thursday,17
692-92-5582,B,Chicago,Member,Female,Food and beverages,164.52,172.746,2019-02-20,13:27:00,Credit card,5.9,8.225999999999999,February,Wednesday,13
351-62-0822,B,Chicago,Member,Female,Fashion accessories,57.92,60.816,2019-02-06,18:07:00,Ewallet,4.5,2.896000000000001,February,Wednesday,18
529-56-3974,B,Chicago,Member,Male,Electronic accessories,102.04,107.142,2019-03-09,17:03:00,Cash,6.8,5.10199999999999,March,Saturday,17
365-64-0515,A,Nueva York,Normal,Female,Electronic accessories,234.75,246.4875,2019-02-12,10:25:00,Ewallet,7.1,11.737500000000011,February,Tuesday,10
252-56-2699,A,Nueva York,Normal,Male,Food and beverages,431.9,453.495,2019-02-07,16:48:00,Ewallet,8.2,21.595000000000027,February,Thursday,16
829-34-3910,A,Nueva York,Normal,Female,Health and beauty,713.8,749.49,2019-03-29,19:21:00,Cash,5.7,35.690000000000055,March,Friday,19
299-46-1805,B,Chicago,Member,Female,Sports and travel,562.32,590.436,2019-01-15,16:19:00,Cash,4.5,28.115999999999985,January,Tuesday,16
656-95-9349,A,Nueva York,Member,Female,Health and beauty,482.51,506.6355,2019-03-11,11:03:00,Credit card,4.6,24.125499999999988,March,Monday,11
765-26-6951,A,Nueva York,Normal,Male,Sports and travel,435.66,457.443,2019-01-01,10:39:00,Credit card,6.9,21.78299999999996,January,Tuesday,10
329-62-1586,A,Nueva York,Normal,Male,Food and beverages,164.01,172.2105,2019-01-21,18:00:00,Credit card,8.6,8.200500000000005,January,Monday,18
